cpj	id	original	pj	jutjat	prov	num_juzg	poblacion	superficie	densidad	municipios	aut	pro	perc.1yr	perc.5yr	perc.10yr	juzg.unico	v006	v007	v008	v016	v025	v028	v029	v066	v067	v068	v069	v070	v071	v072	v080	v081	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185	v186	v187	v188	v191	v192	v193	v194	v195	v196	v197	v198	v199	v200	v201	v202	v203	v204	v214	v215	years.judge	X0.15	X16.64	X65.y.mas	perc.0.15	perc.16.64	perc.65.	reemplazo	dependencia
2303	II011	1	Carolina, La	La Carolina	Jaén	2	35612	1529.06	23.29	9	1	23	-0.02	0.43	2.38	0	20	38	1	2	10	2	6	2	1	2	2	2	2	2	2	1	3	4	5	5	4	1	4	1	1	7	3	3	1	5	1	1	6	1	6	6	1	1	5	5	1	5	4	5	5	5	1	1	1	7	5	7	4	4	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	3	1973	2	1	0	2	4	7	3	3	4	1	4	5803	23857	5952	16.3	66.99	16.71	0.975	0.493
1407	II012	1	Lucena	Lucena - 1	Córdoba	3	67067	723.54	92.69	6	1	14	0.41	4.14	10.68	0	22	38	1	2	10	1	1	2	1	2	1	1	1	1	3	1	4	5	4	5	4	1	5	1	5	4	2	1	1	6	1	5	6	1	5	6	4	1	5	1	1	5	3	5	5	1	1	1	1	3	5	7	3	4	2	2	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1971	1	1	1	2	4	3	10	2	3	1	4	12381	43877	10809	18.46	65.42	16.12	1.145	0.529
2309	II013	1	Martos	Martos	Jaén	2	55057	760.78	72.37	8	1	23	-0.02	1.29	3.64	0	17	40	1	2	10	2	6	2	1	2	1	1	1	1	3	1	4	4	3	4	4	1	4	1	4	1	2	11	1	5	1	1	5	1	5	5	1	1	4	5	1	1	7	7	1	5	1	1	1	1	3	3	3	7	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	4	1975	2	2	0	2	4	10	11	13	5	1	2	8985	35401	10671	16.32	64.3	19.38	0.842	0.555
1401	II014	1	Montoro	Montoro	Jaén	2	46966	1812.85	25.91	9	1	14	0.37	2.37	3.52	0	50	34	1	2	10	1	1	3	1	1	1	1	1	1	5	1	5	5	5	5	3	2	7	2	7	4	1	9	1	4	1	5	6	1	6	6	1	1	6	6	1	4	6	6	1	6	5	1	1	7	5	5	4	1	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2	1	3	1	1	1963	1	1	2	8	1	9	11	10	5	1	8	7674	30773	8519	16.34	65.52	18.14	0.901	0.526
1403	II015	1	Pozoblanco	Pozoblanco 2	Córdoba	2	43389	2204.21	19.68	13	1	14	-0.51	0.02	0.41	0	48	34	1	2	10	2	6	1	2	2	1	1	1	1	2	1	4	4	5	5	3	1	1	2	7	11	10	2	1	1	1	1	4	1	4	5	1	1	4	1	1	5	1	4	1	1	1	1	1	7	1	7	1	7	2	3	2	7	7	7	7	7	7	7	7	7	7	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	1969	2	1	1	2	3	1	3	3	3	1	8	6308	27274	9807	14.54	62.86	22.6	0.643	0.591
2310	II016	1	Úbeda	Úbeda	Jaén	3	65906	817.51	80.62	6	1	23	0.12	4.73	6.2	0	17	40	1	2	10	1	2	2	1	2	1	1	1	1	1	1	4	4	5	5	5	1	2	1	2	3	2	3	1	5	1	6	6	1	4	6	1	1	5	1	1	5	1	2	1	1	1	1	1	1	5	1	7	2	2	3	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	4	1974	1	2	0	2	4	7	11	13	4	1	2	11561	43104	11241	17.54	65.4	17.06	1.028	0.529
2307	II017	1	Villacarrillo	Villacarrillo	Jaén	2	60744	3471.32	17.5	21	1	23	0.15	0.13	-1.26	0	17	37	1	2	10	2	6	1	1	2	1	1	1	1	2	1	5	5	5	5	5	1	4	1	4	2	2	7	1	5	1	1	6	1	6	4	1	1	5	5	1	5	1	1	1	1	1	1	1	7	4	7	2	7	2	2	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	4	1973	2	2	0	10	5	10	11	13	4	1	5	9172	38873	12699	15.1	63.99	20.91	0.722	0.563
3301	II018	1	Cangas del Narcea	Cangas del Narcea	Asturias	1	17135	1244.02	13.77	3	3	33	-1.33	-7.92	-16.4	1	37	32	2	2	10	1	4	2	1	2	1	1	1	1	1	1	5	4	5	4	4	1	3	1	3	2	3	2	1	1	1	1	6	1	5	6	5	1	4	1	1	5	5	5	1	4	1	1	1	7	2	7	7	4	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	4	2	4	1966	1	1	1	4	4	2	11	3	4	0	10	1754	10943	4438	10.24	63.86	25.9	0.395	0.566
3307	II019	1	Castropol	Castropol	Asturias	1	19793	804.3	24.61	11	3	33	-1.1	-4.84	-10.43	1	37	36	1	2	10	2	6	1	1	2	1	1	2	1	1	1	4	4	5	5	4	1	4	1	2	2	3	3	1	1	4	5	6	1	1	6	5	1	5	5	1	5	1	1	1	5	1	1	1	7	1	7	7	1	2	3	2	7	7	7	7	7	7	7	7	7	7	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	4	1971	2	1	1	14	5	13	3	13	4	0	6	1859	12279	5655	9.39	62.04	28.57	0.329	0.612
3305	II020	1	Grado	Grado	Asturias	2	22737	1224.13	18.57	7	3	33	-1	-3.86	-11.27	0	41	17	2	1	10	1	2	2	1	2	1	1	1	1	2	1	4	4	5	5	5	2	7	1	3	5	7	8	1	1	1	5	6	1	6	6	1	1	5	1	1	4	5	6	1	5	1	1	2	7	7	7	7	7	2	3	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	3	1952	1	1	2	9	1	8	11	2	3	1	25	1932	13694	7111	8.5	60.23	31.28	0.272	0.66
3313	II021	1	Langreo	Langreo	Asturias	4	44737	82.46	542.53	1	3	33	-1.45	-2.91	-7.57	0	34	37	2	2	10	2	6	1	1	2	1	1	2	1	1	1	4	4	4	5	4	1	1	2	7	2	7	9	1	5	1	4	4	1	4	4	1	1	4	1	1	5	5	1	1	1	1	1	1	7	1	7	7	1	2	1	2	7	7	7	7	7	7	7	7	7	7	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	4	2	5	1972	1	2	0	15	4	2	11	1	5	1	5	4643	30100	9994	10.38	67.28	22.34	0.465	0.486
3309	II022	1	Laviana	Laviana	Asturias	2	35105	564.47	62.19	4	3	33	-0.99	-4.19	-7.49	0	12	34	1	2	10	1	2	1	2	2	1	1	1	1	4	1	4	4	4	4	4	1	1	1	1	3	11	11	1	1	1	5	6	1	5	5	1	1	5	1	1	4	1	1	1	1	1	1	1	7	7	7	7	1	2	2	2	7	7	7	7	7	7	7	7	7	7	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	4	1969	1	3	1	14	5	3	3	1	4	1	8	3518	23086	8501	10.02	65.76	24.22	0.414	0.521
3311	II023	1	Llanes	Llanes	Asturias	1	20093	713.58	28.16	5	3	33	0.46	2.89	1.7	1	37	37	1	2	10	1	1	3	1	1	1	1	1	1	2	1	5	4	5	5	4	1	1	1	1	1	1	1	6	5	1	5	6	1	5	6	5	1	4	1	1	1	5	1	1	5	1	1	1	7	4	7	7	4	2	1	2	7	7	7	7	7	7	7	7	7	7	1	2	2	1	2	2	1	2	1	1	1	1	1	1	1	2	2	2	3	1973	1	2	0	9	4	4	9	10	5	0	5	2123	12778	5192	10.57	63.59	25.84	0.409	0.572
3306	II025	1	Siero	Siero 2	Asturias	4	60747	275.3	220.66	4	3	33	0.55	5.38	8.05	0	37	38	1	2	10	1	4	2	1	2	1	1	2	1	1	1	5	4	5	5	4	1	3	1	1	12	12	9	1	5	1	5	5	1	4	5	3	1	4	1	1	3	5	1	1	1	1	1	1	7	7	7	7	3	2	2	2	7	7	7	7	7	7	7	7	7	7	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	3	2	1	1974	1	2	0	17	5	2	11	1	4	1	4	7904	41377	11466	13.01	68.11	18.88	0.689	0.468
3317	II026	1	Villaviciosa	Villaviciosa	Asturias	1	19219	387.16	49.64	3	3	33	0.36	1.97	0.69	1	8	39	1	2	10	1	4	2	1	2	1	1	1	1	2	1	5	4	4	3	4	1	5	1	2	3	3	3	1	1	1	1	6	1	5	5	1	1	5	1	1	1	1	1	1	5	1	1	1	7	1	7	1	3	2	1	1	7	7	7	2	7	7	7	7	7	7	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	4	2	4	1973	2	1	0	7	3	10	10	3	2	0	3	1873	12044	5302	9.75	62.67	27.59	0.353	0.596
1501	II027	1	Betanzos	Betanzos 1	Coruña	4	79540	1142.43	69.62	17	12	15	-0.11	2.04	4.13	0	57	8	1	2	10	2	6	1	2	2	1	1	1	1	2	1	4	3	5	5	4	1	5	1	1	2	3	11	1	5	5	5	6	1	4	6	1	1	4	6	1	4	6	5	1	1	1	1	1	1	5	1	7	7	2	2	2	7	7	7	7	7	7	7	7	7	7	1	2	2	1	2	2	1	2	1	1	1	1	1	1	1	1	3	2	4	1973	2	2	0	12	4	7	11	13	5	1	35	8739	50342	20459	10.99	63.29	25.72	0.427	0.58
1501	II028	1	Betanzos	Betanzos 3	Coruña	4	79540	1142.43	69.62	17	12	15	-0.11	2.04	4.13	0	45	22	2	1	1	2	6	2	2	2	1	1	1	1	2	1	5	4	5	4	4	1	5	1	3	2	7	2	6	1	6	1	1	1	5	6	5	1	2	4	1	5	5	5	1	6	1	1	1	1	1	7	1	7	2	1	1	7	7	7	7	7	7	7	7	7	7	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	4	3	5	1958	2	2	0	12	4	4	11	2	4	1	20	8739	50342	20459	10.99	63.29	25.72	0.427	0.58
3612	II029	1	Caldas de Reis	Caldas de Reis	Pontevedra	2	37537	360.74	104.06	8	12	36	-0.25	0.87	-0.22	0	45	36	1	2	10	2	6	1	2	2	1	1	1	1	1	1	5	4	4	4	4	1	5	1	1	1	2	10	1	1	1	1	4	1	5	5	1	1	4	1	1	5	5	5	1	1	1	1	1	1	5	1	5	7	2	2	2	7	7	7	7	7	7	7	7	7	7	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	3	1	3	1971	1	4	0	12	3	9	11	2	4	1	6	4790	24452	8295	12.76	65.14	22.1	0.577	0.535
3607	II030	1	Cangas	Cangas 1	Pontevedra	3	51481	110.03	467.88	3	12	36	0.68	3.66	8.3	0	4	36	1	2	10	1	2	1	2	2	1	1	1	1	1	1	3	5	5	5	4	1	4	1	3	1	10	7	6	1	1	1	6	1	3	6	4	1	6	3	1	5	5	4	1	1	1	1	1	7	2	7	7	7	2	2	1	7	7	7	7	7	1	7	1	7	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	3	1	4	1971	1	1	1	14	5	6	6	2	5	1	6	7131	35102	9248	13.85	68.18	17.96	0.771	0.467
3607	II031	0	Cangas	Cangas 2	Pontevedra	3	51481	110.03	467.88	3	12	36	0.68	3.66	8.3	0	17	37	1	2	10	2	6	2	2	2	1	1	1	1	2	1	5	4	5	5	4	1	4	1	1	1	1	11	1	5	1	1	5	1	5	6	4	1	4	1	1	1	4	1	1	1	1	1	1	7	2	7	7	1	2	2	2	7	7	7	7	7	7	7	7	7	7	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	4	2	5	1971	2	2	0	19	3	12	11	1	4	1	5	7131	35102	9248	13.85	68.18	17.96	0.771	0.467
2708	II032	1	Fonsagrada, A	Fonsagrada, A	Lugo	1	8087	995.08	8.13	5	12	27	-1.82	-11.51	-21.09	1	39	37	1	2	10	2	6	1	2	2	1	1	1	1	4	2	4	4	4	4	4	1	5	1	4	1	6	10	1	1	1	5	6	1	1	5	1	1	4	1	1	5	5	4	1	1	1	1	1	2	4	7	2	7	2	3	2	7	7	7	7	7	7	7	7	7	7	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	3	1	3	1972	1	2	0	17	4	6	11	13	4	0	5	407	4411	3269	5.03	54.54	40.42	0.125	0.833
3613	II033	1	Marín	Marín 1	Pontevedra	2	38212	67.52	565.94	2	12	36	-0.4	-1.33	0.47	0	45	38	1	2	10	2	6	1	2	2	1	1	1	1	1	1	4	5	4	5	5	1	5	2	7	1	11	11	6	5	1	5	5	1	5	6	1	1	5	5	1	4	4	1	1	1	1	1	1	1	7	1	7	7	2	1	2	7	7	7	7	7	7	7	7	7	7	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	4	2	4	1973	2	2	0	12	2	12	12	13	3	1	4	5663	25751	6798	14.82	67.39	17.79	0.833	0.484
3613	II034	0	Marín	Marín 2	Pontevedra	2	38212	67.52	565.94	2	12	36	-0.4	-1.33	0.47	0	20	37	1	2	10	2	6	2	2	2	1	1	1	1	1	1	5	4	5	4	2	1	5	1	1	11	11	11	1	5	1	3	5	1	5	6	6	1	6	6	1	5	5	5	1	5	1	1	1	7	7	7	7	1	2	2	1	7	7	7	7	7	7	1	7	7	7	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	3	3	5	1972	2	2	0	12	3	12	12	13	4	1	5	5663	25751	6798	14.82	67.39	17.79	0.833	0.484
1511	II035	1	Negreira	Negreira	Coruña	1	28882	491.89	58.72	4	12	15	-0.76	0.45	-0.45	1	45	34	2	2	10	2	6	2	1	2	1	1	1	1	1	2	4	4	5	5	3	1	1	1	1	6	7	3	1	5	1	6	6	1	5	5	1	1	6	5	1	5	5	1	5	1	1	1	2	7	7	7	7	7	2	2	2	7	7	7	7	7	7	7	7	7	7	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	4	1967	1	1	0	12	3	2	11	12	2	0	8	3386	18215	7281	11.72	63.07	25.21	0.465	0.586
